target,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,13.01,3.66,2.21,16.53,98.87,2.46,2.34,0.28,1.49,3.69,0.75,2.79,588.86
0,13.13,1.14,2.32,18.75,108.51,2.63,2.26,0.13,2.15,5.03,0.86,2.66,954.8
0,12.57,1.06,1.88,10.41,83.5,2.35,2.68,0.1,2.57,5.82,0.98,2.49,962.49
0,13.08,0.79,2.32,11.7,86.91,2.63,2.57,0.05,1.14,3.14,0.65,2.86,784.26
0,14.04,2.12,2.6,17.51,120.6,2.58,2.48,0.31,1.23,4.98,1.05,3.56,1286.11
0,12.66,0.84,1.92,14.38,82.79,1.91,1.41,0.17,0.9,2.13,0.84,2.21,1037.74
0,13.67,3.23,2.32,10.94,118.34,2.58,2.36,0.12,1.69,3.53,0.74,3.05,547.11
0,12.63,0.72,2.36,12.96,79.57,2.26,2,0.22,0.91,2.62,0.71,2.55,898.98
0,14.06,0.78,2.16,8.55,78.81,2.57,2.84,0.32,2.32,3.42,1.05,2.12,881.34
0,13.44,1.28,2.44,13.19,93.25,2.91,3.02,0.1,1.39,4.17,0.76,3.17,924.06
0,13.52,0.88,2.15,14.6,92,2.72,2.73,0.17,1.61,6.25,0.91,3.25,912.7
0,14.2,3.34,2.22,15.25,98.79,3.11,2.95,0.24,2.06,4.38,0.99,3.28,994.23
0,13.81,1.55,2.09,15.62,99.36,3.03,3.28,0.2,2.07,5.83,0.88,3.25,948.83
0,13.29,0.88,2.54,17.55,123.65,2.58,2.16,0.43,1.02,4.04,1.12,2.58,1050.82
0,14.02,3.77,2.37,18.1,107.58,2.7,2.41,0.27,1.11,4.68,0.82,3.16,1004.55
0,13.35,1.35,2.28,18.17,102.01,2.69,2.91,0.19,1.79,6.25,1.03,2.68,1426.97
0,13.64,1.38,2.53,16.4,90.59,2.3,2.75,0.19,2.15,5.05,1.19,3.2,1189.73
0,13.98,3.04,2.14,14.36,94.97,2.94,2.68,0.21,1.91,3.76,0.93,3.09,909.9
0,12.93,1.31,2.05,14.93,95.55,2.29,2.47,0.26,1.27,3.3,1.14,2.57,965.99
0,12.73,1.77,2.52,16.83,93.45,2.47,2.71,0.23,2.51,4.45,0.91,2.79,1018.44
0,13.69,1.45,2.69,22.36,100.38,2.97,3.21,0.28,2.36,5.6,1.18,2.68,1271.34
0,12.46,0.95,1.9,14.55,96.53,2.54,2.27,0.19,1.61,3.34,0.71,2.83,654.26
0,12.72,0.93,1.95,14.63,83.87,1.96,1.48,0.18,0.94,2.31,0.86,2.27,1061.65
0,13.61,1.01,2.13,14.13,118.02,2.65,2.61,0.17,1.78,4.35,0.96,3.31,604.04
0,13.96,1.33,2.34,14.47,122.19,2.59,2.72,0.24,2.1,4.86,0.96,3.68,958.92
0,12.27,0.81,2.32,15.43,84.85,2.04,1.66,0.17,1.05,2.28,0.93,3.13,791.16
0,13.48,1.1,1.98,14.26,93.58,2.77,2.87,0.15,1.84,4.89,0.79,2.96,821.31
0,13.75,0.99,2.23,11.98,84.8,2.01,1.74,0.2,1.53,3.43,0.84,3.02,1042.96
0,13.59,2.5,2.01,12.75,88.09,2.64,2.2,0.15,1.63,2.64,0.82,2.75,758.23
